,issn,file.name,first.doi.x,journal.name.x,num.authors,year.x,intro.type,discussion.type,relevance,sentence,epub,Full.title,Title20,Category_name,,Approach
539,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,," (2008), we have shown that applying community detection methods to bootstrap replicate networks often results in partitions that do no match the community structure identified in the empirical network, (Figure‘_1, Figure‘_5).",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
14103,0044-605X,PMC2628344.nxml,10.1186/1751-0147-50-50,Acta Vet Scand,2,2008,Section title,Section title,1," The most important type of reliability for Q is replicability: Will the same 'condition of instruction' lead to factors that are schematically reliable, that is, represent similar families of perspectives on the topic? [15].",1751-0147,ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,PLANT & ANIMAL SCIENCE,,ES
541,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,, We can use this coefficient of assortativity to measure the degree to which pairs assigned to the same community in the empirical network also occur in the same community in bootstrap replicate networks (see also Shizuka et‘_al.,NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
14132,0044-605X,PMC2628344.nxml,10.1186/1751-0147-50-50,Acta Vet Scand,2,2008,Section title,Section title,1," In contrast to most studies, Q-studies cannot obtain 'true replication' because: 1) an identical set of participants, contexts and experiences is impossible to find and; 2) the concourse as it expresses itself in a Q-study becomes context-bound to the particular participants, settings and contexts.",1751-0147,ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,PLANT & ANIMAL SCIENCE,,ES
543,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,, We can estimate the effect of sampling effort as the probability that a pair of nodes that are assigned to the same community in the empirical network will also be assigned to the same community in bootstrapped replicate networks.,NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
544,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,, (2008) proposed that bootstrapping could be used to account for sampling error in estimating community structure: one could simply measure Q for each bootstrap replicate network and generate a confidence interval for the estimate of modularity.,NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
545,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,," Our measure, r, circumvents this problem by directly assessing the degree to which empirical community assignments of nodes agree with community assignments in bootstrap replicates.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
546,0003-3472,PMC4550429.nxml,10.1016/j.anbehav.2015.07.002,Anim Behav,7,2015,None,PubMed DTD,," (2015), greater impulsivity being associated with greater developmental telomere loss and, independently, with lighter current body weight, were not clearly replicated.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
547,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,,"DiscussionWe propose that r, an index of assortativity of community assignments in bootstrap replicates, is a useful way to assess the robustness of empirical measurements of community structure.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
548,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,, This is because applying the community detection anew to each bootstrap replicate often leads to different patterns of partitioning of the network (i.,NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
