Colony,Treatment,Worker size,Oocyte number,,,Columns:
C1,C25,L,0,,,Colony: The colony number of the focal worker
C1,C25,L,35,,,Treatment: The treatment that the focal worker's colony received (C25 or hexane)
C1,C25,L,0,,,"Worker size: Was the focal worker Large (L), Medium (M) or Small (S)?"
C1,C25,L,0,,,Oocyte number: The number of oocytes present in the focal worker's ovaries
C1,C25,L,0,,,
C1,C25,L,43,,,
C1,C25,L,2,,,
C1,C25,L,21,,,
C1,C25,L,0,,,
C1,C25,L,0,,,
C1,C25,L,0,,,
C1,C25,L,17,,,
C1,C25,L,25,,,
C1,C25,L,27,,,
C1,C25,L,0,,,
C1,C25,L,21,,,
C1,C25,L,3,,,
C1,C25,L,28,,,
C1,C25,L,25,,,
C1,C25,L,0,,,
C1,C25,L,0,,,
C1,C25,L,35,,,
C1,C25,L,0,,,
C1,C25,L,0,,,
C1,C25,L,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,7,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,38,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,5,,,
C1,C25,M,0,,,
C1,C25,M,0,,,
C1,C25,M,4,,,
C1,C25,M,17,,,
C1,C25,M,0,,,
C1,C25,S,0,,,
C1,C25,S,0,,,
C2,C25,L,0,,,
C2,C25,L,0,,,
C2,C25,L,9,,,
C2,C25,L,0,,,
C2,C25,L,0,,,
C2,C25,L,0,,,
C2,C25,L,49,,,
C2,C25,L,43,,,
C2,C25,L,0,,,
C2,C25,M,0,,,
C2,C25,M,2,,,
C2,C25,M,0,,,
C2,C25,M,0,,,
C2,C25,M,3,,,
C2,C25,M,9,,,
C2,C25,M,0,,,
C2,C25,M,8,,,
C2,C25,M,0,,,
C2,C25,M,0,,,
C2,C25,M,7,,,
C2,C25,M,0,,,
C2,C25,M,0,,,
C2,C25,M,0,,,
C2,C25,M,0,,,
C2,C25,M,22,,,
C2,C25,M,0,,,
C2,C25,M,10,,,
C2,C25,M,17,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,13,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C2,C25,S,0,,,
C3,C25,L,31,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,51,,,
C3,C25,L,32,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,21,,,
C3,C25,L,12,,,
C3,C25,L,13,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,L,37,,,
C3,C25,L,0,,,
C3,C25,L,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,M,0,,,
C3,C25,S,0,,,
C3,C25,S,0,,,
C3,C25,S,0,,,
C3,C25,S,0,,,
C3,C25,S,0,,,
C3,C25,S,0,,,
